,Season,Pos,%2PA,%0-3A,%3-10A,%10-16A,%16-3ptA,%3PA,2P%,0-3%,3-10%,10-16%,16-3pt%,3P%,MPG
6661,1,4,0.953,0.232,0.107,0.097,0.517,0.047,0.447,0.6759999999999999,0.265,0.32299999999999995,0.406,0.267,22.833333333333332
6662,2,4,0.956,0.184,0.08800000000000001,0.094,0.59,0.044,0.438,0.6759999999999999,0.382,0.306,0.392,0.17600000000000002,28.303030303030305
6665,17,5,0.826,0.642,0.073,0.028,0.073,0.174,0.6,0.6859999999999999,0.375,0.0,0.375,0.368,13.0
6666,97,5,0.996,0.416,0.239,0.235,0.105,0.004,0.458,0.49,0.457,0.377,0.51,0.0,24.949152542372882
6667,98,5,1.0,0.366,0.235,0.238,0.161,0.0,0.455,0.565,0.371,0.393,0.418,,29.362068965517242
6668,99,5,1.0,0.297,0.221,0.307,0.17600000000000002,0.0,0.483,0.581,0.375,0.438,0.529,,23.923076923076923
6669,0,5,1.0,0.341,0.258,0.218,0.183,0.0,0.466,0.507,0.524,0.287,0.521,,19.680555555555557
6670,1,5,1.0,0.556,0.241,0.14800000000000002,0.056,0.0,0.333,0.433,0.154,0.25,0.333,,12.04
6673,18,5,0.974,0.627,0.202,0.073,0.067,0.026,0.59,0.7440000000000001,0.205,0.643,0.308,0.2,13.787878787878787
6674,19,5,0.971,0.7090000000000001,0.133,0.035,0.095,0.029,0.6409999999999999,0.7240000000000001,0.304,0.583,0.515,0.1,18.5125
6675,20,5,0.823,0.38,0.253,0.063,0.127,0.177,0.431,0.7,0.2,0.4,0.1,0.071,13.1
6676,9,5,0.998,0.52,0.238,0.118,0.121,0.002,0.532,0.6609999999999999,0.393,0.35,0.431,0.0,30.5
6677,10,5,0.998,0.476,0.22,0.124,0.179,0.002,0.5,0.611,0.468,0.371,0.332,0.0,36.91463414634146
6678,11,5,0.999,0.242,0.4370000000000001,0.15,0.17,0.001,0.4920000000000001,0.625,0.495,0.398,0.381,0.0,35.23170731707317
6679,12,5,1.0,0.26,0.468,0.117,0.156,0.0,0.494,0.55,0.528,0.556,0.25,,27.2
6680,13,5,0.999,0.376,0.329,0.131,0.16399999999999998,0.001,0.522,0.698,0.422,0.4270000000000001,0.391,0.0,30.445945945945947
6681,14,5,0.996,0.328,0.3670000000000001,0.135,0.166,0.004,0.5660000000000001,0.68,0.5,0.484,0.5529999999999999,0.0,31.352941176470587
6682,15,5,0.99,0.309,0.34,0.153,0.187,0.01,0.517,0.662,0.458,0.47,0.422,0.1,29.166666666666668
